island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
2,40.3,18.5,196.0,4350.0,0
1,45.3,13.7,210.0,4300.0,1
2,33.1,16.1,178.0,2900.0,1
2,40.9,16.6,187.0,3200.0,1
0,41.8,19.4,198.0,4450.0,0
1,38.8,17.2,180.0,3800.0,0
2,37.6,19.3,181.0,3300.0,1
2,39.0,18.7,185.0,3650.0,0
0,41.4,18.5,202.0,3875.0,0
0,35.9,16.6,190.0,3050.0,1
1,50.0,15.9,224.0,5350.0,0
1,50.2,14.3,218.0,5700.0,0
0,38.8,17.6,191.0,3275.0,1
2,36.6,18.4,184.0,3475.0,1
2,49.7,18.6,195.0,3600.0,0
2,36.9,18.6,189.0,3500.0,1
1,47.7,15.0,216.0,4750.0,1
1,43.5,14.2,220.0,4700.0,1
1,46.4,15.6,221.0,5000.0,0
2,51.3,18.2,197.0,3750.0,0
1,49.6,16.0,225.0,5700.0,0
1,47.2,15.5,215.0,4975.0,1
1,48.4,14.4,203.0,4625.0,1
2,50.3,20.0,197.0,3300.0,0
1,48.4,14.6,213.0,5850.0,0
0,38.5,17.9,190.0,3325.0,1
2,39.8,19.1,184.0,4650.0,0
1,51.1,16.5,225.0,5250.0,0
1,44.5,14.3,216.0,4100.0,1
2,52.0,19.0,197.0,4150.0,0
1,42.2,19.5,197.0,4275.0,0
1,45.3,13.8,208.0,4200.0,1
1,46.5,13.5,210.0,4550.0,1
0,35.7,17.0,189.0,3350.0,1
1,49.4,15.8,216.0,4925.0,0
1,50.5,15.2,216.0,5000.0,1
1,46.3,15.8,215.0,5050.0,0
1,47.5,15.0,218.0,4950.0,1
2,52.0,18.1,201.0,4050.0,0
2,49.0,19.6,212.0,4300.0,0
1,45.4,14.6,211.0,4800.0,1
2,45.4,18.7,188.0,3525.0,1
1,43.3,13.4,209.0,4400.0,1
0,40.3,18.0,195.0,3250.0,1
0,38.6,17.0,188.0,2900.0,1
2,50.1,17.9,190.0,3400.0,1
1,45.0,15.4,220.0,5050.0,0
0,37.7,19.8,198.0,3500.0,0
1,45.2,16.4,223.0,5950.0,0
1,51.1,16.3,220.0,6000.0,0
0,39.0,17.1,191.0,3050.0,1
0,42.8,18.5,195.0,4250.0,0
1,43.2,14.5,208.0,4450.0,1
2,39.5,16.7,178.0,3250.0,1
2,37.3,17.8,191.0,3350.0,1
1,49.8,16.8,230.0,5700.0,0
1,38.1,17.0,181.0,3175.0,1
2,50.9,17.9,196.0,3675.0,1
2,51.4,19.0,201.0,3950.0,0
2,38.1,17.6,187.0,3425.0,1
2,51.0,18.8,203.0,4100.0,0
1,50.0,15.3,220.0,5550.0,0
2,39.6,18.8,190.0,4600.0,0
1,50.8,15.7,226.0,5200.0,0
1,35.5,16.2,195.0,3350.0,1
1,44.4,17.3,219.0,5250.0,0
2,36.3,19.5,190.0,3800.0,0
2,47.5,16.8,199.0,3900.0,1
0,39.7,18.4,190.0,3900.0,0
2,46.0,18.9,195.0,4150.0,1
0,38.6,21.2,191.0,3800.0,0
2,38.8,20.0,190.0,3950.0,0
1,40.5,18.9,180.0,3950.0,0
2,49.2,18.2,195.0,4400.0,0
2,40.7,17.0,190.0,3725.0,0
1,48.2,14.3,210.0,4600.0,1
2,36.8,18.5,193.0,3500.0,1
1,50.1,15.0,225.0,5000.0,0
1,35.0,17.9,190.0,3450.0,1
2,38.1,18.6,190.0,3700.0,1
1,49.6,15.0,216.0,4750.0,0
2,49.5,19.0,200.0,3800.0,0
2,50.7,19.7,203.0,4050.0,0
0,35.2,15.9,186.0,3050.0,1
2,36.0,18.5,186.0,3100.0,1
2,35.7,18.0,202.0,3550.0,1
1,44.9,13.3,213.0,5100.0,1
2,52.2,18.8,197.0,3450.0,0
2,40.2,20.1,200.0,3975.0,0
1,40.5,17.9,187.0,3200.0,1
1,44.5,15.7,217.0,4875.0,1
2,32.1,15.5,188.0,3050.0,1
1,46.2,14.4,214.0,4650.0,1
0,39.3,20.6,190.0,3650.0,0
0,39.1,18.7,181.0,3750.0,0
1,51.3,14.2,218.0,5300.0,0
1,46.8,16.1,215.0,5500.0,0
1,52.2,17.1,228.0,5400.0,0
1,41.0,20.0,203.0,4725.0,0
1,46.7,15.3,219.0,5200.0,0
2,46.2,17.5,187.0,3650.0,1
1,48.6,16.0,230.0,5800.0,0
2,50.2,18.7,198.0,3775.0,1
2,45.7,17.0,195.0,3650.0,1
1,37.9,18.6,193.0,2925.0,1
2,42.4,17.3,181.0,3600.0,1
2,43.2,18.5,192.0,4100.0,0
2,42.2,18.5,180.0,3550.0,1
2,43.5,18.1,202.0,3400.0,1
1,37.6,17.0,185.0,3600.0,1
2,41.5,18.5,201.0,4000.0,0
1,47.8,15.0,215.0,5650.0,0
2,36.0,17.9,190.0,3450.0,1
2,40.9,18.9,184.0,3900.0,0
1,45.8,14.2,219.0,4700.0,1
0,41.1,17.6,182.0,3200.0,1
1,46.8,14.3,215.0,4850.0,1
2,49.8,17.3,198.0,3675.0,1
1,43.4,14.4,218.0,4600.0,1
1,37.9,18.6,172.0,3150.0,1
1,45.7,13.9,214.0,4400.0,1
1,49.0,16.1,216.0,5550.0,0
2,51.7,20.3,194.0,3775.0,0
1,46.5,14.8,217.0,5200.0,1
2,39.7,17.9,193.0,4250.0,0
1,41.1,18.2,192.0,4050.0,0
2,35.6,17.5,191.0,3175.0,1
0,44.1,18.0,210.0,4000.0,0
0,42.0,20.2,190.0,4250.0,1
1,41.6,18.0,192.0,3950.0,0
0,36.6,17.8,185.0,3700.0,1
2,45.2,17.8,198.0,3950.0,1
2,40.8,18.4,195.0,3900.0,0
1,55.9,17.0,228.0,5600.0,0
1,50.4,15.3,224.0,5550.0,0
2,49.6,18.2,193.0,3775.0,0
1,45.2,13.8,215.0,4750.0,1
1,49.2,15.2,221.0,6300.0,0
2,45.2,16.6,191.0,3250.0,1
2,46.8,16.5,189.0,3650.0,1
1,45.5,14.5,212.0,4750.0,1
1,45.1,14.5,207.0,5050.0,1
1,46.2,14.1,217.0,4375.0,1
1,49.5,16.1,224.0,5650.0,0
1,46.6,14.2,210.0,4850.0,1
2,48.1,16.4,199.0,3325.0,1
2,46.6,17.8,193.0,3800.0,1
2,37.0,16.9,185.0,3000.0,1
2,50.8,19.0,210.0,4100.0,0
2,53.5,19.9,205.0,4500.0,0
1,42.7,13.7,208.0,3950.0,1
1,38.6,17.2,199.0,3750.0,1
1,34.5,18.1,187.0,2900.0,1
0,39.5,17.4,186.0,3800.0,1
1,39.6,17.7,186.0,3500.0,1
0,42.9,17.6,196.0,4700.0,0
2,42.5,17.3,187.0,3350.0,1
2,39.2,21.1,196.0,4150.0,0
1,50.5,15.9,222.0,5550.0,0
2,34.0,17.1,185.0,3400.0,1
1,42.0,19.5,200.0,4050.0,0
1,43.6,13.9,217.0,4900.0,1
1,46.5,14.5,213.0,4400.0,1
0,34.6,21.1,198.0,4400.0,0
2,38.9,18.8,190.0,3600.0,1
1,46.5,14.4,217.0,4900.0,1
2,50.5,19.6,201.0,4050.0,0
1,48.8,16.2,222.0,6000.0,0
2,41.1,17.5,190.0,3900.0,0
1,48.1,15.1,209.0,5500.0,0
1,42.9,13.1,215.0,5000.0,1
1,41.4,18.6,191.0,3700.0,0
1,40.1,18.9,188.0,4300.0,0
2,50.6,19.4,193.0,3800.0,0
2,46.9,16.6,192.0,2700.0,1
1,45.2,14.8,212.0,5200.0,1
2,47.6,18.3,195.0,3850.0,1
2,46.4,18.6,190.0,3450.0,1
1,37.6,19.1,194.0,3750.0,0
2,42.3,21.2,191.0,4150.0,0
1,42.0,13.5,210.0,4150.0,1
1,59.6,17.0,230.0,6050.0,0
1,35.9,19.2,189.0,3800.0,1
1,44.5,14.7,214.0,4850.0,1
2,51.3,19.9,198.0,3700.0,0
1,45.5,15.0,220.0,5000.0,0
2,49.0,19.5,210.0,3950.0,0
1,46.4,15.0,216.0,4700.0,1
1,44.0,13.6,208.0,4350.0,1
1,52.1,17.0,230.0,5550.0,0
2,36.0,17.1,187.0,3700.0,1
0,43.1,19.2,197.0,3500.0,0
2,46.5,17.9,192.0,3500.0,1
1,35.0,17.9,192.0,3725.0,1
2,38.3,19.2,189.0,3950.0,0
1,49.8,15.9,229.0,5950.0,0
2,55.8,19.8,207.0,4000.0,0
0,40.2,17.0,176.0,3450.0,1
1,49.9,16.1,213.0,5400.0,0
1,37.7,18.7,180.0,3600.0,0
2,52.0,20.7,210.0,4800.0,0
0,39.6,17.2,196.0,3550.0,1
1,38.2,20.0,190.0,3900.0,0
1,48.5,14.1,220.0,5300.0,0
1,37.8,20.0,190.0,4250.0,0
